,url,nameAndUniverse
68,http://marvel.wikia.com/wiki/Aaron_Salomon_(Earth-616),Aaron Salomon (Earth-616)
69,http://marvel.wikia.com/wiki/Aaron_Soames_(Earth-616),Aaron Soames (Earth-616)
70,http://marvel.wikia.com/wiki/Aaron_Stankey_(Earth-616),Aaron Stankey (Earth-616)
71,http://marvel.wikia.com/wiki/Aaron_the_Aakon_(Earth-616),Aaron the Aakon (Earth-616)
72,http://marvel.wikia.com/wiki/Aaron_the_Sorcerer_(Earth-616),Aaron the Sorcerer (Earth-616)
73,http://marvel.wikia.com/wiki/Aaron_Thorne_(Earth-616),Aaron Thorne (Earth-616)
74,http://marvel.wikia.com/wiki/Aaron_Verne_(Earth-616),Aaron Verne (Earth-616)
75,http://marvel.wikia.com/wiki/Abadon_(Earth-616),Abadon (Earth-616)
76,http://marvel.wikia.com/wiki/Abahla_(Earth-616),Abahla (Earth-616)
77,http://marvel.wikia.com/wiki/Aban_(Earth-616),Aban (Earth-616)
78,http://marvel.wikia.com/wiki/Abarac_(Earth-616),Abarac (Earth-616)
79,http://marvel.wikia.com/wiki/Abbadona_(Angel)_(Earth-616),Abbadona (Angel) (Earth-616)
80,http://marvel.wikia.com/wiki/Abbadona_Hellgore_(Earth-616),Abbadona Hellgore (Earth-616)
81,http://marvel.wikia.com/wiki/Abbas_al-Abbad_(Earth-616),Abbas al-Abbad (Earth-616)
82,http://marvel.wikia.com/wiki/Abbess_Horror_(Earth-616),Abbess Horror (Earth-616)
83,http://marvel.wikia.com/wiki/Abbey_Sykes_(Earth-616),Abbey Sykes (Earth-616)
84,http://marvel.wikia.com/wiki/Abby_Levine_(Earth-616),Abby Levine (Earth-616)
85,http://marvel.wikia.com/wiki/Abby_Rubin_(Earth-616),Abby Rubin (Earth-616)
86,http://marvel.wikia.com/wiki/Abby-L_(Earth-616),Abby-L (Earth-616)
87,http://marvel.wikia.com/wiki/Abd-el-Hazred_(Earth-616),Abd-el-Hazred (Earth-616)
88,http://marvel.wikia.com/wiki/Abdi_(Earth-616),Abdi (Earth-616)
89,http://marvel.wikia.com/wiki/Abdol_(Earth-616),Abdol (Earth-616)
90,http://marvel.wikia.com/wiki/Abdul_(Earth-616),Abdul (Earth-616)
91,http://marvel.wikia.com/wiki/Abdul_(Mohammedan)_(Earth-616),Abdul (Mohammedan) (Earth-616)
92,http://marvel.wikia.com/wiki/Abdul_Faoul_(Earth-616),Abdul Faoul (Earth-616)
93,http://marvel.wikia.com/wiki/Abdul_Hurani_(Earth-616),Abdul Hurani (Earth-616)
94,http://marvel.wikia.com/wiki/Abdul_Qamar_(Earth-616),Abdul Qamar (Earth-616)
95,http://marvel.wikia.com/wiki/Abe_Benerstein_(Earth-616),Abe Benerstein (Earth-616)
96,http://marvel.wikia.com/wiki/Abe_Hargreaves_(Earth-616),Abe Hargreaves (Earth-616)
97,http://marvel.wikia.com/wiki/Abe_Jankovitz_(Earth-616),Abe Jankovitz (Earth-616)
98,http://marvel.wikia.com/wiki/Abel_(Earth-616),Abel (Earth-616)
99,http://marvel.wikia.com/wiki/Abel_Stack_(Earth-616),Abel Stack (Earth-616)
100,http://marvel.wikia.com/wiki/Abel_Tennison_(Earth-616),Abel Tennison (Earth-616)
101,http://marvel.wikia.com/wiki/Abena_(Earth-616),Abena (Earth-616)
102,http://marvel.wikia.com/wiki/Abeni_(Earth-616),Abeni (Earth-616)
103,http://marvel.wikia.com/wiki/Aberdeen_Angus_(Earth-616),Aberdeen Angus (Earth-616)
104,http://marvel.wikia.com/wiki/Abigail_(Hollywood_Hills_Middle_School)_(Earth-616),Abigail (Hollywood Hills Middle School) (Earth-616)
105,http://marvel.wikia.com/wiki/Abigail_(Sersi%27s_Roommate)_(Earth-616),Abigail (Sersi's Roommate) (Earth-616)
106,http://marvel.wikia.com/wiki/Abigail_Baxter_(Earth-616),Abigail Baxter (Earth-616)
107,http://marvel.wikia.com/wiki/Abigail_Boylen_(Earth-616),Abigail Boylen (Earth-616)
108,http://marvel.wikia.com/wiki/Abigail_Brand_(Earth-616),Abigail Brand (Earth-616)
109,http://marvel.wikia.com/wiki/Abigail_Burns_(Earth-616),Abigail Burns (Earth-616)
110,http://marvel.wikia.com/wiki/Abigail_Dunton_(Earth-616),Abigail Dunton (Earth-616)
111,http://marvel.wikia.com/wiki/Abigail_Harkness_(Earth-616),Abigail Harkness (Earth-616)
112,http://marvel.wikia.com/wiki/Abigail_Housman_(Earth-616),Abigail Housman (Earth-616)
113,http://marvel.wikia.com/wiki/Abigail_Marigold_(Earth-616),Abigail Marigold (Earth-616)
114,http://marvel.wikia.com/wiki/Abigail_Mercury_(Clone)_(Earth-616),Abigail Mercury (Clone) (Earth-616)
115,http://marvel.wikia.com/wiki/Abigail_Mercury_(Earth-616),Abigail Mercury (Earth-616)
116,http://marvel.wikia.com/wiki/Abigail_Tyler_(Earth-616),Abigail Tyler (Earth-616)
117,http://marvel.wikia.com/wiki/Abigail_Varden_(Earth-616),Abigail Varden (Earth-616)
118,http://marvel.wikia.com/wiki/Abigail_Verpoorten_(Earth-616),Abigail Verpoorten (Earth-616)
119,http://marvel.wikia.com/wiki/Abigail_Wright_(Earth-616),Abigail Wright (Earth-616)
120,http://marvel.wikia.com/wiki/Abira_(Earth-616),Abira (Earth-616)
121,http://marvel.wikia.com/wiki/Able_Doone_(Earth-616),Able Doone (Earth-616)
122,http://marvel.wikia.com/wiki/Abner_(Mutant)_(Earth-616),Abner (Mutant) (Earth-616)
123,http://marvel.wikia.com/wiki/Abner_Abernathy_(Earth-616),Abner Abernathy (Earth-616)
124,http://marvel.wikia.com/wiki/Abner_Croit_(Earth-616),Abner Croit (Earth-616)
125,http://marvel.wikia.com/wiki/Abner_Doolittle_(Earth-616),Abner Doolittle (Earth-616)
126,http://marvel.wikia.com/wiki/Abner_Dunson_(Earth-616),Abner Dunson (Earth-616)
127,http://marvel.wikia.com/wiki/Abner_Jenkins_(Earth-616),Abner Jenkins (Earth-616)
128,http://marvel.wikia.com/wiki/Abner_Jonas_(Earth-616),Abner Jonas (Earth-616)
129,http://marvel.wikia.com/wiki/Abner_Little_(Earth-616),Abner Little (Earth-616)
130,http://marvel.wikia.com/wiki/Abner_Perry_(Earth-616),Abner Perry (Earth-616)
131,http://marvel.wikia.com/wiki/Abominable_Snowman_(Howling_Commandos)_(Earth-616),Abominable Snowman (Howling Commandos) (Earth-616)
132,http://marvel.wikia.com/wiki/Abomination_(Morlock)_(Earth-616),Abomination (Morlock) (Earth-616)
133,http://marvel.wikia.com/wiki/Abra_and_Cadabra_(Earth-616),Abra and Cadabra (Earth-616)
134,http://marvel.wikia.com/wiki/Abraham_(Earth-616),Abraham (Earth-616)
135,http://marvel.wikia.com/wiki/Abraham_Adamson_(Earth-616),Abraham Adamson (Earth-616)
136,http://marvel.wikia.com/wiki/Abraham_Beame_(Earth-616),Abraham Beame (Earth-616)
137,http://marvel.wikia.com/wiki/Abraham_Brown_(Earth-616),Abraham Brown (Earth-616)
138,http://marvel.wikia.com/wiki/Abraham_Cabot_(Earth-616),Abraham Cabot (Earth-616)
139,http://marvel.wikia.com/wiki/Abraham_Cornelius_(Earth-616),Abraham Cornelius (Earth-616)
140,http://marvel.wikia.com/wiki/Abraham_Erskine_(Earth-616),Abraham Erskine (Earth-616)
141,http://marvel.wikia.com/wiki/Abraham_Kieros_(Earth-616),Abraham Kieros (Earth-616)
142,http://marvel.wikia.com/wiki/Abraham_Klein_(Earth-616),Abraham Klein (Earth-616)
143,http://marvel.wikia.com/wiki/Abraham_Lincoln_(Earth-616),Abraham Lincoln (Earth-616)
144,http://marvel.wikia.com/wiki/Abraham_Lincoln_(Robot)_(Earth-616),Abraham Lincoln (Robot) (Earth-616)
145,http://marvel.wikia.com/wiki/Abraham_Stoker_(Earth-616),Abraham Stoker (Earth-616)
146,http://marvel.wikia.com/wiki/Abraham_van_Helsing_(Earth-616),Abraham van Helsing (Earth-616)
147,http://marvel.wikia.com/wiki/Abraham_Verne_(Earth-616),Abraham Verne (Earth-616)
148,http://marvel.wikia.com/wiki/Abraham_Walker_(Earth-616),Abraham Walker (Earth-616)
149,http://marvel.wikia.com/wiki/Abraham_Wilson_(Heroes_Reborn)_(Earth-616),Abraham Wilson (Heroes Reborn) (Earth-616)
150,http://marvel.wikia.com/wiki/Abraham_Zimmer_(Earth-616),Abraham Zimmer (Earth-616)
151,"http://marvel.wikia.com/wiki/Abraham_Zimmer,_Jr._(Earth-616)","Abraham Zimmer, Jr. (Earth-616)"
152,http://marvel.wikia.com/wiki/Absalom_(Earth-616),Absalom (Earth-616)
153,http://marvel.wikia.com/wiki/Absolon_Mercator_(Earth-616),Absolon Mercator (Earth-616)
154,http://marvel.wikia.com/wiki/Absynthe_(Earth-616),Absynthe (Earth-616)
155,http://marvel.wikia.com/wiki/Absynthia_van_Mort_(Earth-616),Absynthia van Mort (Earth-616)
156,http://marvel.wikia.com/wiki/Abu_Ben_Hakim_(Earth-616),Abu Ben Hakim (Earth-616)
